StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2025-09-06T11:30:00Z,APXMIDP,2025-09-06,26,-26.88,135.600
2025-09-06T11:30:00Z,N2EXMIDP,2025-09-06,26,-32.53,49.500
2025-09-06T11:00:00Z,APXMIDP,2025-09-06,25,-19.57,231.050
2025-09-06T11:00:00Z,N2EXMIDP,2025-09-06,25,0.00,0.000
2025-09-06T10:30:00Z,APXMIDP,2025-09-06,24,-22.80,663.950
2025-09-06T10:30:00Z,N2EXMIDP,2025-09-06,24,0.00,0.000
2025-09-06T10:00:00Z,APXMIDP,2025-09-06,23,-18.68,697.800
2025-09-06T10:00:00Z,N2EXMIDP,2025-09-06,23,0.00,0.000
2025-09-06T09:30:00Z,APXMIDP,2025-09-06,22,-3.29,782.850
2025-09-06T09:30:00Z,N2EXMIDP,2025-09-06,22,0.00,0.000
2025-09-06T09:00:00Z,APXMIDP,2025-09-06,21,6.06,1045.550
2025-09-06T09:00:00Z,N2EXMIDP,2025-09-06,21,0.00,0.000
2025-09-06T08:30:00Z,APXMIDP,2025-09-06,20,29.49,785.700
2025-09-06T08:30:00Z,N2EXMIDP,2025-09-06,20,0.00,0.000
2025-09-06T08:00:00Z,APXMIDP,2025-09-06,19,65.83,449.000
2025-09-06T08:00:00Z,N2EXMIDP,2025-09-06,19,0.00,0.000
2025-09-06T07:30:00Z,APXMIDP,2025-09-06,18,73.88,956.900
2025-09-06T07:30:00Z,N2EXMIDP,2025-09-06,18,0.00,0.000
2025-09-06T07:00:00Z,APXMIDP,2025-09-06,17,73.31,1124.450
2025-09-06T07:00:00Z,N2EXMIDP,2025-09-06,17,0.00,0.000
2025-09-06T06:30:00Z,APXMIDP,2025-09-06,16,76.13,1528.250
2025-09-06T06:30:00Z,N2EXMIDP,2025-09-06,16,0.00,0.000
2025-09-06T06:00:00Z,APXMIDP,2025-09-06,15,74.11,1560.300
2025-09-06T06:00:00Z,N2EXMIDP,2025-09-06,15,0.00,0.000
2025-09-06T05:30:00Z,APXMIDP,2025-09-06,14,81.27,1307.250
2025-09-06T05:30:00Z,N2EXMIDP,2025-09-06,14,0.00,0.000
2025-09-06T05:00:00Z,APXMIDP,2025-09-06,13,80.55,1164.400
2025-09-06T05:00:00Z,N2EXMIDP,2025-09-06,13,0.00,0.000
2025-09-06T04:30:00Z,APXMIDP,2025-09-06,12,79.56,1088.750
2025-09-06T04:30:00Z,N2EXMIDP,2025-09-06,12,0.00,0.000
2025-09-06T04:00:00Z,APXMIDP,2025-09-06,11,81.24,1068.750
2025-09-06T04:00:00Z,N2EXMIDP,2025-09-06,11,0.00,0.000
2025-09-06T03:30:00Z,APXMIDP,2025-09-06,10,80.59,999.600
2025-09-06T03:30:00Z,N2EXMIDP,2025-09-06,10,0.00,0.000
2025-09-06T03:00:00Z,APXMIDP,2025-09-06,9,81.79,1035.150
2025-09-06T03:00:00Z,N2EXMIDP,2025-09-06,9,0.00,0.000
2025-09-06T02:30:00Z,APXMIDP,2025-09-06,8,85.07,923.050
2025-09-06T02:30:00Z,N2EXMIDP,2025-09-06,8,0.00,0.000
2025-09-06T02:00:00Z,APXMIDP,2025-09-06,7,85.71,981.400
2025-09-06T02:00:00Z,N2EXMIDP,2025-09-06,7,0.00,0.000
2025-09-06T01:30:00Z,APXMIDP,2025-09-06,6,81.26,1053.550
2025-09-06T01:30:00Z,N2EXMIDP,2025-09-06,6,0.00,0.000
2025-09-06T01:00:00Z,APXMIDP,2025-09-06,5,84.99,1204.050
2025-09-06T01:00:00Z,N2EXMIDP,2025-09-06,5,0.00,0.000
2025-09-06T00:30:00Z,APXMIDP,2025-09-06,4,84.64,1302.950
2025-09-06T00:30:00Z,N2EXMIDP,2025-09-06,4,0.00,0.000
2025-09-06T00:00:00Z,APXMIDP,2025-09-06,3,82.31,1194.500
2025-09-06T00:00:00Z,N2EXMIDP,2025-09-06,3,0.00,0.000
2025-09-05T23:30:00Z,APXMIDP,2025-09-06,2,82.50,1446.000
2025-09-05T23:30:00Z,N2EXMIDP,2025-09-06,2,0.00,0.000
2025-09-05T23:00:00Z,APXMIDP,2025-09-06,1,79.42,1837.650
2025-09-05T23:00:00Z,N2EXMIDP,2025-09-06,1,0.00,0.000
2025-09-05T22:30:00Z,APXMIDP,2025-09-05,48,81.91,2175.500
2025-09-05T22:30:00Z,N2EXMIDP,2025-09-05,48,0.00,0.000
2025-09-05T22:00:00Z,APXMIDP,2025-09-05,47,81.05,1802.200
2025-09-05T22:00:00Z,N2EXMIDP,2025-09-05,47,0.00,0.000
2025-09-05T21:30:00Z,APXMIDP,2025-09-05,46,85.29,2675.000
2025-09-05T21:30:00Z,N2EXMIDP,2025-09-05,46,0.00,0.000
2025-09-05T21:00:00Z,APXMIDP,2025-09-05,45,90.36,2457.250
2025-09-05T21:00:00Z,N2EXMIDP,2025-09-05,45,0.00,0.000
2025-09-05T20:30:00Z,APXMIDP,2025-09-05,44,92.23,2599.250
2025-09-05T20:30:00Z,N2EXMIDP,2025-09-05,44,0.00,0.000
2025-09-05T20:00:00Z,APXMIDP,2025-09-05,43,99.08,2948.500
2025-09-05T20:00:00Z,N2EXMIDP,2025-09-05,43,0.00,0.000
2025-09-05T19:30:00Z,APXMIDP,2025-09-05,42,100.96,2847.950
2025-09-05T19:30:00Z,N2EXMIDP,2025-09-05,42,0.00,0.000
2025-09-05T19:00:00Z,APXMIDP,2025-09-05,41,104.77,2892.250
2025-09-05T19:00:00Z,N2EXMIDP,2025-09-05,41,0.00,0.000
2025-09-05T18:30:00Z,APXMIDP,2025-09-05,40,123.98,2794.850
2025-09-05T18:30:00Z,N2EXMIDP,2025-09-05,40,0.00,0.000
2025-09-05T18:00:00Z,APXMIDP,2025-09-05,39,124.59,2786.250
2025-09-05T18:00:00Z,N2EXMIDP,2025-09-05,39,0.00,0.000
2025-09-05T17:30:00Z,APXMIDP,2025-09-05,38,117.45,2994.350
2025-09-05T17:30:00Z,N2EXMIDP,2025-09-05,38,0.00,0.000
2025-09-05T17:00:00Z,APXMIDP,2025-09-05,37,114.71,3144.600
2025-09-05T17:00:00Z,N2EXMIDP,2025-09-05,37,0.00,0.000
2025-09-05T16:30:00Z,APXMIDP,2025-09-05,36,92.19,4105.750
2025-09-05T16:30:00Z,N2EXMIDP,2025-09-05,36,0.00,0.000
