StartTime,DataProvider,SettlementDate,SettlementPeriod,Price,Volume
2025-06-08T17:00:00Z,N2EXMIDP,2025-06-08,37,0.00,0.000
2025-06-08T16:30:00Z,APXMIDP,2025-06-08,36,82.45,2670.400
2025-06-08T16:30:00Z,N2EXMIDP,2025-06-08,36,0.00,0.000
2025-06-08T16:00:00Z,APXMIDP,2025-06-08,35,85.64,2568.550
2025-06-08T16:00:00Z,N2EXMIDP,2025-06-08,35,0.00,0.000
2025-06-08T15:30:00Z,APXMIDP,2025-06-08,34,85.87,3142.400
2025-06-08T15:30:00Z,N2EXMIDP,2025-06-08,34,0.00,0.000
2025-06-08T15:00:00Z,APXMIDP,2025-06-08,33,87.09,2762.850
2025-06-08T15:00:00Z,N2EXMIDP,2025-06-08,33,0.00,0.000
2025-06-08T14:30:00Z,APXMIDP,2025-06-08,32,94.67,2866.250
2025-06-08T14:30:00Z,N2EXMIDP,2025-06-08,32,0.00,0.000
2025-06-08T14:00:00Z,APXMIDP,2025-06-08,31,89.00,2827.950
2025-06-08T14:00:00Z,N2EXMIDP,2025-06-08,31,0.00,0.000
2025-06-08T13:30:00Z,APXMIDP,2025-06-08,30,53.63,3014.500
2025-06-08T13:30:00Z,N2EXMIDP,2025-06-08,30,0.00,0.000
2025-06-08T13:00:00Z,APXMIDP,2025-06-08,29,46.95,3391.450
2025-06-08T13:00:00Z,N2EXMIDP,2025-06-08,29,0.00,0.000
2025-06-08T12:30:00Z,APXMIDP,2025-06-08,28,36.43,3457.150
2025-06-08T12:30:00Z,N2EXMIDP,2025-06-08,28,0.00,0.000
2025-06-08T12:00:00Z,APXMIDP,2025-06-08,27,10.70,3820.150
2025-06-08T12:00:00Z,N2EXMIDP,2025-06-08,27,0.00,0.000
2025-06-08T11:30:00Z,APXMIDP,2025-06-08,26,-0.27,2849.450
2025-06-08T11:30:00Z,N2EXMIDP,2025-06-08,26,0.00,0.000
2025-06-08T11:00:00Z,APXMIDP,2025-06-08,25,-8.25,2998.500
2025-06-08T11:00:00Z,N2EXMIDP,2025-06-08,25,0.00,0.000
2025-06-08T10:30:00Z,APXMIDP,2025-06-08,24,-6.00,3127.000
2025-06-08T10:30:00Z,N2EXMIDP,2025-06-08,24,0.00,0.000
2025-06-08T10:00:00Z,APXMIDP,2025-06-08,23,-13.89,2715.900
2025-06-08T10:00:00Z,N2EXMIDP,2025-06-08,23,0.00,0.000
2025-06-08T09:30:00Z,APXMIDP,2025-06-08,22,-10.39,2738.800
2025-06-08T09:30:00Z,N2EXMIDP,2025-06-08,22,0.00,0.000
2025-06-08T09:00:00Z,APXMIDP,2025-06-08,21,-11.90,2390.750
2025-06-08T09:00:00Z,N2EXMIDP,2025-06-08,21,0.00,0.000
2025-06-08T08:30:00Z,APXMIDP,2025-06-08,20,-10.90,1823.900
2025-06-08T08:30:00Z,N2EXMIDP,2025-06-08,20,0.00,0.000
2025-06-08T08:00:00Z,APXMIDP,2025-06-08,19,-11.75,1749.300
2025-06-08T08:00:00Z,N2EXMIDP,2025-06-08,19,0.00,0.000
2025-06-08T07:30:00Z,APXMIDP,2025-06-08,18,-1.17,1762.850
2025-06-08T07:30:00Z,N2EXMIDP,2025-06-08,18,0.00,0.000
2025-06-08T07:00:00Z,APXMIDP,2025-06-08,17,-4.79,2073.300
2025-06-08T07:00:00Z,N2EXMIDP,2025-06-08,17,0.00,0.000
2025-06-08T06:30:00Z,APXMIDP,2025-06-08,16,-8.59,2159.850
2025-06-08T06:30:00Z,N2EXMIDP,2025-06-08,16,0.00,0.000
2025-06-08T06:00:00Z,APXMIDP,2025-06-08,15,-13.65,1570.800
2025-06-08T06:00:00Z,N2EXMIDP,2025-06-08,15,0.00,0.000
2025-06-08T05:30:00Z,APXMIDP,2025-06-08,14,-9.38,1784.750
2025-06-08T05:30:00Z,N2EXMIDP,2025-06-08,14,0.00,0.000
2025-06-08T05:00:00Z,APXMIDP,2025-06-08,13,-7.17,1564.250
2025-06-08T05:00:00Z,N2EXMIDP,2025-06-08,13,0.00,0.000
2025-06-08T04:30:00Z,APXMIDP,2025-06-08,12,-2.42,1811.500
2025-06-08T04:30:00Z,N2EXMIDP,2025-06-08,12,0.00,0.000
2025-06-08T04:00:00Z,APXMIDP,2025-06-08,11,-2.03,1763.400
2025-06-08T04:00:00Z,N2EXMIDP,2025-06-08,11,0.00,0.000
2025-06-08T03:30:00Z,APXMIDP,2025-06-08,10,-2.37,1756.200
2025-06-08T03:30:00Z,N2EXMIDP,2025-06-08,10,0.00,0.000
2025-06-08T03:00:00Z,APXMIDP,2025-06-08,9,1.33,1804.200
2025-06-08T03:00:00Z,N2EXMIDP,2025-06-08,9,0.00,0.000
